a0,a1,a2
1250,64,0
750,41,0
250,16,0
250,16,0
250,16,0
250,16,0
250,16,0
250,16,0
250,16,0
1000,45,0
250,16,0
250,16,0
250,16,0
250,16,0
250,16,0
500,26,0
500,23,0
500,27,0
500,23,0
500,23,0
1000,57,0
1250,60,0
500,23,0
1250,74,0
750,28,0
750,40,0
500,52,0
500,52,0
1750,87,1
1000,64,0
500,35,0
1750,93,0
500,25,0
750,52,0
3500,93,0
2000,95,0
750,46,0
750,76,0
500,52,0
750,76,0
3000,86,0
750,35,0
500,26,0
500,26,0
2000,64,0
750,50,0
750,33,0
750,38,0
500,28,0
250,21,0
250,21,0
250,21,0
250,21,0
250,21,0
250,21,0
250,21,0
250,21,0
250,21,0
250,21,1
250,21,0
250,21,0
1250,60,0
1000,45,0
1000,52,0
250,22,1
500,70,0
1250,58,0
750,40,0
750,41,0
750,83,0
500,35,0
1250,49,1
1500,70,0
250,23,0
250,23,0
250,23,0
250,23,0
250,23,0
250,23,0
250,23,0
250,23,0
1000,53,0
1500,86,0
750,48,0
500,41,0
750,64,0
500,70,0
750,70,0
1000,87,0
750,89,0
500,87,0
750,64,0
250,38,0
250,38,0
250,40,0
250,74,0
10750,86,1
5500,28,1
8500,77,1
11000,98,0
6500,76,1
10250,98,1
5250,42,1
2750,23,0
5250,52,1
3250,32,1
1000,4,1
2750,26,0
2750,28,0
3500,35,0
4000,38,1
1500,14,0
1250,12,1
8250,98,1
2500,33,1
2500,28,1
2750,40,1
2750,41,1
3250,39,1
2500,43,1
2250,28,0
1000,11,0
1250,16,1
3750,64,0
6000,79,0
1500,22,1
1250,16,1
1000,14,1
2000,28,0
1000,14,0
1500,26,0
1250,16,1
1750,32,1
1500,26,1
2000,38,1
500,4,1
1500,28,1
2500,52,0
4000,70,1
500,4,1
3500,95,0
500,4,1
3500,48,0
750,11,0
3000,70,1
1750,32,1
1000,16,0
1500,35,1
1500,28,1
750,14,0
1000,23,0
1000,18,0
1500,28,0
1500,30,0
1250,14,0
2000,50,0
2750,64,1
2250,52,0
4000,98,1
2500,47,0
3500,86,0
2250,75,0
1500,35,0
2250,55,0
1500,35,1
1500,45,0
1500,47,0
500,9,0
500,11,1
500,11,0
500,11,1
1500,38,1
1000,29,1
2250,38,0
1250,18,0
750,21,0
250,2,0
250,2,1
250,2,0
250,2,0
250,2,0
250,2,0
250,2,1
250,2,0
250,2,0
250,2,0
250,2,0
2750,38,0
750,22,0
2750,49,1
2750,75,0
1250,38,0
250,3,1
1500,43,0
750,24,0
2750,39,0
